dataset,train_epochs,noise_multiplier,test_acc_mean,test_acc_std,mse_mean,mse_std,cosine_sim_mean,cosine_sim_std,feat_corr_mean,feat_corr_std
chameleon,10,0.0,0.22783760489551544,0.003568078450113664,0.04392247771223381,0.00038202442506917687,0.0016883398347999998,0.002166045964888896,0.05228360450088413,0.0013639447629694556
chameleon,10,0.005,0.21196353849546568,0.009903708509968039,0.0451095029711723,0.002420861920186392,0.0020829156468001003,0.0011891975831926777,0.0523347447262305,0.0031103811533375767
chameleon,10,0.01,0.21302014154338011,0.015722572389348422,0.05179519454638157,0.00044403308935298414,0.0004139719530940333,0.0017115888752068575,0.05155591104243417,0.0019101426702264228
chameleon,10,0.02,0.20736134336731507,0.006921115740087741,0.057183928787708234,0.0009291837505594393,0.0048121968284249,0.0017507871341013229,0.0520597908178384,0.0021829969384628716
chameleon,10,0.05,0.20394403270503425,0.011003914695584024,0.06501233329375579,0.0017673344558243355,0.0009727789001771728,0.0008546109612452221,0.050563989325150833,0.0027237470034688956
chameleon,30,0.0,0.259812075082475,0.0009449505597107818,0.06925138955314951,0.017326222108663338,0.011132309834162335,0.0040985319603479425,0.053703239684146364,0.0034321625076847617
chameleon,30,0.005,0.22608671151183388,0.005553600271289372,0.0453842269877592,0.000888362664812942,0.004750464887668633,0.002017233540080335,0.0546555123248857,0.002201833216790899
chameleon,30,0.01,0.22162262409327751,0.0007931218770600305,0.054016583909591,0.0003695540845213812,0.0011297087185084334,0.002609397239514766,0.051908717287769225,0.002672680320591255
chameleon,30,0.02,0.2164872627715697,0.007909649232628192,0.058854634563128096,0.0007009302415659139,0.0013330078606183333,0.0016155622910184536,0.052415588451293266,0.0026926445248894367
chameleon,30,0.05,0.21080088926703625,0.003657246361146428,0.06588358432054513,0.000810404399554747,0.0009831961942836486,0.0017990080715552539,0.05093044579618037,0.003151895247065763
chameleon,100,0.0,0.3417094552164422,0.015975346469529837,0.062314896533886534,0.017273574538680298,0.009829174882421833,0.0029749827408089343,0.05283856673403093,0.005272351903143864
chameleon,100,0.005,0.23648119954845773,0.005605018594198991,0.05646218235294023,0.010451902735641823,0.005640148418024134,0.0018348108478130024,0.05380356398166437,0.003167306369920413
chameleon,100,0.01,0.2332673992625163,0.012609339156906025,0.06008462359507873,0.0009422462887288384,0.0013653867499669797,0.001140164089383556,0.05161202726545077,0.002133079678402435
chameleon,100,0.02,0.2294501255597259,0.0013488817067899101,0.0687561382850011,0.003594278094816195,0.0019115841132588372,0.0015852994692099923,0.0514666701240576,0.0031592093017709403
chameleon,100,0.05,0.21903419306155722,0.008617131292236447,0.07281523942947381,0.007358591185085613,-0.0018445774621795666,0.002229019204064675,0.051200839427649636,0.0008228315904509807
